date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:37	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6468f07e-4f71c1f78cda2a7;gz%22	https://wincroreclub.com/robots.txt		(from )
11:55:37	45447/45447	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2006:25:37%20GMT	https://wincroreclub.com/	C:/My%20Web%20Sites/ddddddddddddddd/wincroreclub.com/index.html	(from )
11:55:38	2149/2149	---M-Z	200	added ('OK')	text/css	etag:%22865-659a8087-8ccddc9734f4b276;gz%22	https://wincroreclub.com/css/droid.css	C:/My%20Web%20Sites/ddddddddddddddd/wincroreclub.com/css/droid.css	(from https://wincroreclub.com/)
11:55:38	149427/149427	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Jan%202024%2006:25:38%20GMT	https://wincroreclub.com/assets/logo.png	C:/My%20Web%20Sites/ddddddddddddddd/wincroreclub.com/assets/logo.png	(from https://wincroreclub.com/)
11:55:38	88252/88252	---M-Z	200	added ('OK')	text/css	etag:%22158bc-659a8087-71322089d4429d18;gz%22	https://wincroreclub.com/css/material-design-iconic-font.min.css	C:/My%20Web%20Sites/ddddddddddddddd/wincroreclub.com/css/material-design-iconic-font.min.css	(from https://wincroreclub.com/)
11:55:39	41747/41747	---M-Z	200	added ('OK')	text/css	etag:%22a313-659a8087-634a5bb280f46abf;gz%22	https://wincroreclub.com/css/font-awesome.min.css	C:/My%20Web%20Sites/ddddddddddddddd/wincroreclub.com/css/font-awesome.min.css	(from https://wincroreclub.com/)
11:55:40	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-6b4a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/ddddddddddddddd/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.5.0/css/font-awesome.min.css	(from https://wincroreclub.com/)
11:55:40	85264/85264	---M-Z	200	added ('OK')	text/css	etag:%2214d10-659a8087-efcb5dcac7394158;gz%22	https://wincroreclub.com/css/plugins.css	C:/My%20Web%20Sites/ddddddddddddddd/wincroreclub.com/css/plugins.css	(from https://wincroreclub.com/)
11:55:41	217718/217718	---M-Z	200	added ('OK')	text/css	etag:%2235276-659a8087-5590941ba45f2fef;gz%22	https://wincroreclub.com/css/bootstrap.min.css	C:/My%20Web%20Sites/ddddddddddddddd/wincroreclub.com/css/bootstrap.min.css	(from https://wincroreclub.com/)
11:55:41	115647/115647	---M-Z	200	added ('OK')	text/css	etag:%221c3bf-659a8087-505837a91b1c94d4;gz%22	https://wincroreclub.com/style.css	C:/My%20Web%20Sites/ddddddddddddddd/wincroreclub.com/style.css	(from https://wincroreclub.com/)
